From	To	Species	Gene Name
ENSSSCG00000011675	397114	Sus scrofa	G protein-coupled receptor kinase 7(GRK7)
ENSSSCG00000011690	100518400	Sus scrofa	phospholipid scramblase 4(PLSCR4)
ENSSSCG00000014670	733579	Sus scrofa	tripartite motif protein TRIM5(LOC733579)
ENSSSCG00000016999	100525967	Sus scrofa	T-cell leukemia homeobox 3(TLX3)
ENSSSCG00000024393	397599	Sus scrofa	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5(B3GNT5)
ENSSSCG00000003908	100511571	Sus scrofa	tetraspanin 1(TSPAN1)
ENSSSCG00000004713	100158178	Sus scrofa	transglutaminase 5(TGM5)
ENSSSCG00000014853	100627912	Sus scrofa	glycerophosphodiester phosphodiesterase domain containing 5(GDPD5)
ENSSSCG00000008348	100516257	Sus scrofa	pleckstrin(PLEK)
ENSSSCG00000014851	102160472	Sus scrofa	solute carrier organic anion transporter family member 2B1(SLCO2B1)
ENSSSCG00000001229	100513601	Sus scrofa	patr class I histocompatibility antigen, A-126 alpha chain-like(LOC100513601)
ENSSSCG00000002755	100516737	Sus scrofa	nuclear factor of activated T-cells 5(NFAT5)
ENSSSCG00000024388	100624868	Sus scrofa	BCL2 interacting protein 3(BNIP3)
ENSSSCG00000027777	100623926	Sus scrofa	proline rich and Gla domain 1(PRRG1)
ENSSSCG00000017356	100514069	Sus scrofa	family with sequence similarity 171 member A2(FAM171A2)
ENSSSCG00000024592	100520501	Sus scrofa	ankyrin repeat domain 17(ANKRD17)
ENSSSCG00000024591	100513560	Sus scrofa	ETS variant 1(ETV1)
ENSSSCG00000004314	100157591	Sus scrofa	peptidase M20 domain containing 2(PM20D2)
ENSSSCG00000007007	100519877	Sus scrofa	indoleamine 2,3-dioxygenase 1(IDO1)
ENSSSCG00000028274	100520650	Sus scrofa	family with sequence similarity 131 member B(FAM131B)
ENSSSCG00000011495	100520050	Sus scrofa	prickle planar cell polarity protein 2(PRICKLE2)
ENSSSCG00000011496	100520218	Sus scrofa	ADAM metallopeptidase with thrombospondin type 1 motif 9(ADAMTS9)
ENSSSCG00000008340	100513853	Sus scrofa	anthrax toxin receptor 1(ANTXR1)
ENSSSCG00000007816	100518723	Sus scrofa	interleukin 21 receptor(IL21R)
ENSSSCG00000027527	396600	Sus scrofa	solute carrier family 1 member 4(SLC1A4)
ENSSSCG00000027525	100628197	Sus scrofa	24-dehydrocholesterol reductase(DHCR24)
ENSSSCG00000011699	100049673	Sus scrofa	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1(HPS3)
ENSSSCG00000015345	100511149	Sus scrofa	glucocorticoid induced 1(GLCCI1)
ENSSSCG00000001233	100144460	Sus scrofa	tripartite motif containing 26(TRIM26)
ENSSSCG00000001231	100037293	Sus scrofa	MHC class I antigen 1(SLA-1)
ENSSSCG00000004510	100312959	Sus scrofa	acetyl-CoA acyltransferase 2(ACAA2)
ENSSSCG00000004049	100152303	Sus scrofa	acetyl-CoA acetyltransferase 2(ACAT2)
ENSSSCG00000013316	397338	Sus scrofa	Wilms tumor 1(WT1)
ENSSSCG00000008334	100625349	Sus scrofa	MAX dimerization protein 1(MXD1)
ENSSSCG00000016782	100518874	Sus scrofa	family with sequence similarity 105 member A(FAM105A)
ENSSSCG00000001483	100155972	Sus scrofa	family with sequence similarity 83 member B(FAM83B)
ENSSSCG00000001486	100154780	Sus scrofa	leucine rich repeat containing 1(LRRC1)
ENSSSCG00000013313	100513583	Sus scrofa	proline rich and Gla domain 4(PRRG4)
ENSSSCG00000007004	100517378	Sus scrofa	integrator complex subunit 10(INTS10)
ENSSSCG00000003079	100525346	Sus scrofa	poliovirus receptor homolog(LOC100525346)
ENSSSCG00000016053	100515587	Sus scrofa	nuclear envelope integral membrane protein 2(NEMP2)
ENSSSCG00000016050	100514878	Sus scrofa	inositol polyphosphate-1-phosphatase(INPP1)
ENSSSCG00000002736	100511756	Sus scrofa	tyrosine aminotransferase(TAT)
ENSSSCG00000004053	100155114	Sus scrofa	T-cell activation RhoGTPase activating protein(TAGAP)
ENSSSCG00000017630	100514365	Sus scrofa	eosinophil peroxidase(EPX)
ENSSSCG00000013307	100512825	Sus scrofa	LIM domain only 2(LMO2)
ENSSSCG00000017823	100511223	Sus scrofa	reticulon 4 receptor like 1(RTN4RL1)
ENSSSCG00000010704	100515802	Sus scrofa	leucine rich repeat and fibronectin type III domain containing 1(LRFN1)
ENSSSCG00000013300	100526094	Sus scrofa	ETS homologous factor(EHF)
ENSSSCG00000016986	100523409	Sus scrofa	CREB3 regulatory factor(CREBRF)
ENSSSCG00000023603	100510896	Sus scrofa	UBA like domain containing 1(UBALD1)
ENSSSCG00000013303	100512455	Sus scrofa	ankyrin repeat and BTB domain containing 2(ABTB2)
ENSSSCG00000016991	100522469	Sus scrofa	dual specificity phosphatase 1(DUSP1)
ENSSSCG00000029587	396774	Sus scrofa	TIMP metallopeptidase inhibitor 4(TIMP4)
ENSSSCG00000008122	641353	Sus scrofa	adrenoceptor alpha 2B(ADRA2B)
ENSSSCG00000008314	100523368	Sus scrofa	ATPase H+ transporting V1 subunit B1(ATP6V1B1)
ENSSSCG00000005177	100155580	Sus scrofa	SH3 domain containing GRB2 like 2, endophilin A1(SH3GL2)
ENSSSCG00000008123	100524615	Sus scrofa	AT-rich interaction domain 5A(ARID5A)
ENSSSCG00000008124	100524797	Sus scrofa	neuralized E3 ubiquitin protein ligase 3(NEURL3)
ENSSSCG00000008311	100521659	Sus scrofa	cytochrome P450 26B1(LOC100521659)
ENSSSCG00000001469	100135050	Sus scrofa	MHC class II, DM beta(SLA-DMB)
ENSSSCG00000002516	100515390	Sus scrofa	tryptophanyl-tRNA synthetase(WARS)
ENSSSCG00000022247	100627913	Sus scrofa	proline and serine rich 2(PROSER2)
ENSSSCG00000013564	396755	Sus scrofa	insulin receptor(INSR)
ENSSSCG00000002515	100515556	Sus scrofa	solute carrier family 25 member 47(SLC25A47)
ENSSSCG00000015596	100524701	Sus scrofa	family with sequence similarity 71 member A(FAM71A)
ENSSSCG00000022246	100621467	Sus scrofa	inducible T-cell costimulator ligand(ICOSLG)
ENSSSCG00000003065	100521017	Sus scrofa	plasminogen activator, urokinase receptor(PLAUR)
ENSSSCG00000021865	397093	Sus scrofa	inhibin beta A subunit(INHBA)
ENSSSCG00000001470	445528	Sus scrofa	SLA-DM alpha chain(SLA-DMA)
ENSSSCG00000022912	100623678	Sus scrofa	5'-nucleotidase, cytosolic IIIA(NT5C3A)
ENSSSCG00000014812	396853	Sus scrofa	folate receptor 2 (fetal)(FOLR2)
ENSSSCG00000017124	100523704	Sus scrofa	ankyrin repeat domain 33B(ANKRD33B)
ENSSSCG00000021105	100621778	Sus scrofa	dipeptidase 2(DPEP2)
ENSSSCG00000017614	100737114	Sus scrofa	E3 ubiquitin/ISG15 ligase TRIM25(LOC100737114)
ENSSSCG00000005163	445459	Sus scrofa	interferon beta 1(IFNB1)
ENSSSCG00000015398	100739844	Sus scrofa	semaphorin-3A-like(LOC100739844)
ENSSSCG00000015399	100524100	Sus scrofa	semaphorin 3E(SEMA3E)
ENSSSCG00000004963	100155298	Sus scrofa	acidic nuclear phosphoprotein 32 family member A(ANP32A)
ENSSSCG00000010723	100154810	Sus scrofa	acyl-CoA dehydrogenase, short/branched chain(ACADSB)
ENSSSCG00000015393	100521327	Sus scrofa	cyclin D binding myb like transcription factor 1(DMTF1)
ENSSSCG00000016059	397261	Sus scrofa	signal transducer and activator of transcription 4(STAT4)
ENSSSCG00000029763	100624758	Sus scrofa	interferon induced protein 35(IFI35)
ENSSSCG00000023627	100521871	Sus scrofa	LY6/PLAUR domain containing 6(LYPD6)
ENSSSCG00000001869	100152646	Sus scrofa	pseudopodium enriched atypical kinase 1(PEAK1)
ENSSSCG00000010318	100154205	Sus scrofa	dual specificity phosphatase 13(DUSP13)
ENSSSCG00000029756	100157214	Sus scrofa	adhesion G protein-coupled receptor G2(ADGRG2)
ENSSSCG00000014820	100622758	Sus scrofa	FCH and double SH3 domains 2(FCHSD2)
ENSSSCG00000010728	100153578	Sus scrofa	carboxypeptidase X, M14 family member 2(CPXM2)
ENSSSCG00000015595	100738612	Sus scrofa	activating transcription factor 3(ATF3)
ENSSSCG00000010312	396985	Sus scrofa	plasminogen activator, urokinase(PLAU)
ENSSSCG00000015590	100217398	Sus scrofa	feline leukemia virus subgroup C cellular receptor 1(FLVCR1)
ENSSSCG00000010539	100526017	Sus scrofa	solute carrier family 25 member 28(SLC25A28)
ENSSSCG00000004774	100156047	Sus scrofa	isovaleryl-CoA dehydrogenase(IVD)
ENSSSCG00000024329	100154635	Sus scrofa	chromosome 14 open reading frame, human C12orf43(C14H12orf43)
ENSSSCG00000017146	100626814	Sus scrofa	E3 ubiquitin-protein ligase RNF213(LOC100626814)
ENSSSCG00000027710	100519043	Sus scrofa	PDZ domain containing 3(PDZD3)
ENSSSCG00000010531	100151975	Sus scrofa	R3H domain and coiled-coil containing 1 like(R3HCC1L)
ENSSSCG00000030044	100621783	Sus scrofa	transmembrane protein 184C(TMEM184C)
ENSSSCG00000022976	100514413	Sus scrofa	GTP-binding protein 2(LOC100514413)
ENSSSCG00000005636	100156347	Sus scrofa	solute carrier family 25 member 25(SLC25A25)
ENSSSCG00000016008	100520592	Sus scrofa	CWC22 spliceosome associated protein homolog(CWC22)
ENSSSCG00000028200	100522471	Sus scrofa	GRIP and coiled-coil domain containing 1(GCC1)
ENSSSCG00000012996	100513778	Sus scrofa	CDC42 effector protein 2(CDC42EP2)
ENSSSCG00000015175	100515913	Sus scrofa	von Willebrand factor A domain containing 5A(VWA5A)
ENSSSCG00000005833	100736774	Sus scrofa	endothelial differentiation related factor 1(EDF1)
ENSSSCG00000022493	100519652	Sus scrofa	tyrosine-protein kinase Mer(LOC100519652)
ENSSSCG00000017137	100512305	Sus scrofa	meteorin like, glial cell differentiation regulator(METRNL)
ENSSSCG00000005838	100513840	Sus scrofa	TNF receptor associated factor 2(TRAF2)
ENSSSCG00000027918	100738308	Sus scrofa	signal transducer and activator of transcription 1(STAT1)
ENSSSCG00000005627	100521423	Sus scrofa	adenylate kinase 1(AK1)
ENSSSCG00000027709	100519390	Sus scrofa	poly(ADP-ribose) polymerase family member 9(PARP9)
ENSSSCG00000004789	492313	Sus scrofa	thrombospondin 1(THBS1)
ENSSSCG00000006702	100152950	Sus scrofa	flavin containing monooxygenase 5(FMO5)
ENSSSCG00000028492	100515617	Sus scrofa	chromosome 8 open reading frame, human C4orf46(C8H4orf46)
ENSSSCG00000010540	100157585	Sus scrofa	ectonucleoside triphosphate diphosphohydrolase 7(ENTPD7)
ENSSSCG00000028204	100623094	Sus scrofa	trehalase(LOC100623094)
ENSSSCG00000013931	100517882	Sus scrofa	GEM interacting protein(GMIP)
ENSSSCG00000001453	100135040	Sus scrofa	MHC class II DR-alpha(SLA-DRA)
ENSSSCG00000001457	100037921	Sus scrofa	SLA-DQ beta1 domain(SLA-DQB1)
ENSSSCG00000001456	100153387	Sus scrofa	MHC class II histocompatibility antigen SLA-DQA(SLA-DQA1)
ENSSSCG00000004792	100522915	Sus scrofa	family with sequence similarity 98 member B(FAM98B)
ENSSSCG00000014039	100524790	Sus scrofa	regulator of G-protein signaling 14(RGS14)
ENSSSCG00000022089	100620961	Sus scrofa	adhesion G protein-coupled receptor F4(ADGRF4)
ENSSSCG00000004075	100514020	Sus scrofa	regulator of G-protein signaling 17(RGS17)
ENSSSCG00000017160	100511584	Sus scrofa	chromobox 4(CBX4)
ENSSSCG00000030029	100620381	Sus scrofa	developmental pluripotency associated 2(DPPA2)
ENSSSCG00000022672	102167071	Sus scrofa	transient receptor potential cation channel subfamily M member 4(TRPM4)
ENSSSCG00000021822	100739168	Sus scrofa	E3 ubiquitin-protein ligase RNF169(LOC100739168)
ENSSSCG00000023062	100622043	Sus scrofa	HIV-1 Tat specific factor 1(HTATSF1)
ENSSSCG00000010554	396670	Sus scrofa	stearoyl-CoA desaturase(SCD)
ENSSSCG00000005857	100515295	Sus scrofa	cysteine rich tail 1(CYSRT1)
ENSSSCG00000002555	100522743	Sus scrofa	jagged 2(JAG2)
ENSSSCG00000021828	100626638	Sus scrofa	transmembrane anterior posterior transformation 1(TAPT1)
ENSSSCG00000001422	448981	Sus scrofa	complement C2(C2)
ENSSSCG00000023863	100739376	Sus scrofa	TSC22 domain family protein 1(LOC100739376)
ENSSSCG00000022478	100524465	Sus scrofa	serine/threonine-protein kinase 10(LOC100524465)
ENSSSCG00000030957	100739736	Sus scrofa	nuclear factor NF-kappa-B p105 subunit-like(LOC100739736)
ENSSSCG00000004999	100620483	Sus scrofa	MIS18 binding protein 1(MIS18BP1)
ENSSSCG00000009679	100153078	Sus scrofa	frizzled class receptor 3(FZD3)
ENSSSCG00000016530	100523705	Sus scrofa	transmembrane protein 140(TMEM140)
ENSSSCG00000013338	100519011	Sus scrofa	solute carrier family 5 member 12(SLC5A12)
ENSSSCG00000022289	100626940	Sus scrofa	protocadherin 1(PCDH1)
ENSSSCG00000022689	100621090	Sus scrofa	growth arrest and DNA damage inducible beta(GADD45B)
ENSSSCG00000009676	100525009	Sus scrofa	zinc finger protein 395(ZNF395)
ENSSSCG00000016512	100415778	Sus scrofa	zinc finger CCCH-type containing, antiviral 1(ZC3HAV1)
ENSSSCG00000022961	100512427	Sus scrofa	CXADR like membrane protein(CLMP)
ENSSSCG00000002959	100516018	Sus scrofa	family with sequence similarity 98 member C(FAM98C)
ENSSSCG00000023247	397011	Sus scrofa	optineurin(OPTN)
ENSSSCG00000025393	100625804	Sus scrofa	sushi domain containing 2(SUSD2)
ENSSSCG00000012077	397128	Sus scrofa	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)(MX1)
ENSSSCG00000016922	100521344	Sus scrofa	vasculin(LOC100521344)
ENSSSCG00000016018	100152419	Sus scrofa	frizzled-related protein(FRZB)
ENSSSCG00000005102	100522657	Sus scrofa	apoptosis enhancing nuclease(AEN)
ENSSSCG00000025181	100523731	Sus scrofa	interferon-induced, double-stranded RNA-activated protein kinase-like(LOC100523731)
ENSSSCG00000006736	396662	Sus scrofa	CD2 molecule(CD2)
ENSSSCG00000015124	397247	Sus scrofa	poliovirus receptor-related 1 (herpesvirus entry mediator C)(NECTIN1)
ENSSSCG00000025182	100626141	Sus scrofa	ELK4, ETS transcription factor(ELK4)
ENSSSCG00000006733	100156166	Sus scrofa	transcription termination factor 2(TTF2)
ENSSSCG00000013114	100513135	Sus scrofa	solute carrier family 15 member 3(SLC15A3)
ENSSSCG00000006731	100157401	Sus scrofa	V-set domain containing T cell activation inhibitor 1(VTCN1)
ENSSSCG00000016502	100515805	Sus scrofa	poly(ADP-ribose) polymerase family member 12(PARP12)
ENSSSCG00000030008	100158114	Sus scrofa	TBC/LysM-associated domain containing 2(TLDC2)
ENSSSCG00000006875	100158146	Sus scrofa	phospholipid phosphatase related 4(PLPPR4)
ENSSSCG00000024161	396650	Sus scrofa	MHC class I antigen 7(SLA-7)
ENSSSCG00000014089	100519355	Sus scrofa	coagulation factor II thrombin receptor like 2(F2RL2)
ENSSSCG00000005381	100512644	Sus scrofa	uncharacterized LOC100512644(LOC100512644)
ENSSSCG00000001404	397086	Sus scrofa	tumor necrosis factor(TNF)
ENSSSCG00000005385	397479	Sus scrofa	nuclear receptor subfamily 4 group A member 3(NR4A3)
ENSSSCG00000008925	397515	Sus scrofa	gonadotropin releasing hormone receptor(GNRHR)
ENSSSCG00000024938	100517856	Sus scrofa	SH3 domain binding protein 5(SH3BP5)
ENSSSCG00000006748	100156161	Sus scrofa	tetraspanin 2(TSPAN2)
ENSSSCG00000006742	100154970	Sus scrofa	mab-21 like 3(MAB21L3)
ENSSSCG00000006888	100625692	Sus scrofa	solute carrier family 44 member 3(SLC44A3)
ENSSSCG00000014277	396611	Sus scrofa	interferon regulatory factor 1(IRF1)
ENSSSCG00000016709	100520876	Sus scrofa	sorting nexin 10(SNX10)
ENSSSCG00000030900	396801	Sus scrofa	low density lipoprotein receptor(LDLR)
ENSSSCG00000010504	100152350	Sus scrofa	B-cell linker(BLNK)
ENSSSCG00000006885	100157203	Sus scrofa	ALG14, UDP-N-acetylglucosaminyltransferase subunit(ALG14)
ENSSSCG00000010502	100154790	Sus scrofa	cyclin J(CCNJ)
ENSSSCG00000024166	100627201	Sus scrofa	solute carrier family 2 member 6(SLC2A6)
ENSSSCG00000005373	100155883	Sus scrofa	N-acetylneuraminate synthase(NANS)
ENSSSCG00000001419	100124377	Sus scrofa	solute carrier family 44 member 4(SLC44A4)
ENSSSCG00000005374	100151834	Sus scrofa	tripartite motif containing 14(TRIM14)
ENSSSCG00000006890	100155583	Sus scrofa	ATP binding cassette subfamily A member 4(ABCA4)
ENSSSCG00000016900	100739671	Sus scrofa	endothelial cell specific molecule 1(ESM1)
ENSSSCG00000023026	397263	Sus scrofa	chloride voltage-gated channel 5(CLCN5)
ENSSSCG00000012773	100337678	Sus scrofa	pregnancy up-regulated nonubiquitous CaM kinase(PNCK)
ENSSSCG00000028216	100738625	Sus scrofa	NK3 homeobox 1(NKX3-1)
ENSSSCG00000024132	100157181	Sus scrofa	transmembrane protein 47(TMEM47)
ENSSSCG00000006718	100154558	Sus scrofa	zinc finger protein 697(ZNF697)
ENSSSCG00000004754	100524723	Sus scrofa	ChaC glutathione specific gamma-glutamylcyclotransferase 1(CHAC1)
ENSSSCG00000004755	100152163	Sus scrofa	delta like canonical Notch ligand 4(DLL4)
ENSSSCG00000024133	100621816	Sus scrofa	deubiquitinating protein VCIP135(LOC100621816)
ENSSSCG00000010513	100627422	Sus scrofa	ligand-dependent corepressor(LOC100627422)
ENSSSCG00000013901	100174943	Sus scrofa	IFI30, lysosomal thiol reductase(IFI30)
ENSSSCG00000005364	100152652	Sus scrofa	tudor domain containing 7(TDRD7)
ENSSSCG00000005899	100156081	Sus scrofa	major facilitator superfamily domain containing 3(MFSD3)
ENSSSCG00000015119	100520397	Sus scrofa	membrane frizzled-related protein(MFRP)
ENSSSCG00000021196	100151900	Sus scrofa	HIC ZBTB transcriptional repressor 2(HIC2)
ENSSSCG00000022031	100626514	Sus scrofa	carbohydrate sulfotransferase 2(CHST2)
ENSSSCG00000014618	100512797	Sus scrofa	GTPase, very large interferon inducible 1(GVIN1)
ENSSSCG00000014255	100516960	Sus scrofa	solute carrier family 12 member 2(SLC12A2)
ENSSSCG00000004761	100154961	Sus scrofa	zinc finger FYVE-type containing 19(ZFYVE19)
ENSSSCG00000017192	100519916	Sus scrofa	envoplakin(EVPL)
ENSSSCG00000005608	100126164	Sus scrofa	angiopoietin like 2(ANGPTL2)
ENSSSCG00000010526	100155615	Sus scrofa	arginine vasopressin induced 1(AVPI1)
ENSSSCG00000009434	100625944	Sus scrofa	regulator of cell cycle(RGCC)
ENSSSCG00000024536	100625567	Sus scrofa	RUN domain containing 1(RUNDC1)
ENSSSCG00000024152	100157726	Sus scrofa	ETS variant 6(ETV6)
ENSSSCG00000015120	100520041	Sus scrofa	ubiquitin specific peptidase 2(USP2)
ENSSSCG00000028230	100621584	Sus scrofa	zinc finger matrin-type 3(ZMAT3)
ENSSSCG00000009490	574066	Sus scrofa	dopachrome tautomerase(DCT)
ENSSSCG00000028525	733603	Sus scrofa	serum amyloid A-3 protein(SAA3)
ENSSSCG00000003777	100513866	Sus scrofa	solute carrier family 44 member 5(SLC44A5)
ENSSSCG00000005593	100154062	Sus scrofa	olfactomedin like 2A(OLFML2A)
ENSSSCG00000025856	100624959	Sus scrofa	transmembrane protein 106A(TMEM106A)
ENSSSCG00000008833	100135674	Sus scrofa	sarcoglycan beta(SGCB)
ENSSSCG00000010868	100512673	Sus scrofa	beclin 2(BECN2)
ENSSSCG00000012132	100158057	Sus scrofa	ankyrin repeat and SOCS box containing 9(ASB9)
ENSSSCG00000008832	100522021	Sus scrofa	leucine rich repeat containing 66(LRRC66)
ENSSSCG00000003363	100513476	Sus scrofa	chromosome 6 C1orf174 homolog(C6H1orf174)
ENSSSCG00000003552	100523251	Sus scrofa	aurora kinase A and ninein interacting protein(AUNIP)
ENSSSCG00000011295	100525079	Sus scrofa	SNF related kinase(SNRK)
ENSSSCG00000009495	100152536	Sus scrofa	multidrug resistance-associated protein 4-like(LOC100152536)
ENSSSCG00000011298	100512497	Sus scrofa	CUB domain containing protein 1(CDCP1)
ENSSSCG00000003553	100523443	Sus scrofa	mitochondrial fission regulator 1 like(MTFR1L)
ENSSSCG00000007501	492315	Sus scrofa	bone morphogenetic protein 7(BMP7)
ENSSSCG00000024970	100738127	Sus scrofa	ETS variant 3(ETV3)
ENSSSCG00000024973	100523492	Sus scrofa	guanylate-binding protein 5(LOC100523492)
ENSSSCG00000016220	100153171	Sus scrofa	aspartyl aminopeptidase(DNPEP)
ENSSSCG00000024975	100523688	Sus scrofa	nuclear receptor subfamily 5 group A member 2(NR5A2)
ENSSSCG00000007507	100144531	Sus scrofa	phosphoenolpyruvate carboxykinase 1(PCK1)
ENSSSCG00000007508	100144524	Sus scrofa	Z-DNA binding protein 1(ZBP1)
ENSSSCG00000006472	100155151	Sus scrofa	cellular retinoic acid binding protein 2(CRABP2)
ENSSSCG00000012548	100739251	Sus scrofa	MUM1 like 1(MUM1L1)
ENSSSCG00000006474	100153933	Sus scrofa	nestin(NES)
ENSSSCG00000003766	100525703	Sus scrofa	DnaJ heat shock protein family (Hsp40) member B4(DNAJB4)
ENSSSCG00000000396	396923	Sus scrofa	signal transducer and activator of transcription 2(STAT2)
ENSSSCG00000010853	397639	Sus scrofa	epoxide hydrolase 1(EPHX1)
ENSSSCG00000003763	100525523	Sus scrofa	interferon induced protein 44(IFI44)
ENSSSCG00000002908	100627119	Sus scrofa	zinc finger and BTB domain containing 32(ZBTB32)
ENSSSCG00000024788	100302019	Sus scrofa	claudin 16(CLDN16)
ENSSSCG00000011090	100522395	Sus scrofa	nebulette(NEBL)
ENSSSCG00000011874	100153948	Sus scrofa	poly(ADP-ribose) polymerase family member 14(PARP14)
ENSSSCG00000029395	100622591	Sus scrofa	transmembrane protein 25(TMEM25)
ENSSSCG00000026506	102166414	Sus scrofa	ral GTPase-activating protein subunit alpha-2-like(LOC102166414)
ENSSSCG00000008648	396752	Sus scrofa	radical S-adenosyl methionine domain containing 2(RSAD2)
ENSSSCG00000026502	100157381	Sus scrofa	limb and CNS expressed 1 like(LIX1L)
ENSSSCG00000011877	397441	Sus scrofa	CD86 molecule(CD86)
ENSSSCG00000025455	100624229	Sus scrofa	RAS like proto-oncogene B(RALB)
ENSSSCG00000012110	100524415	Sus scrofa	midline 1(MID1)
ENSSSCG00000013286	100522726	Sus scrofa	leucine rich repeat containing 4C(LRRC4C)
ENSSSCG00000025836	100623441	Sus scrofa	sulfotransferase family 1C member 4(SULT1C4)
ENSSSCG00000009473	100156216	Sus scrofa	MYC binding protein 2, E3 ubiquitin protein ligase(MYCBP2)
ENSSSCG00000009474	100525833	Sus scrofa	sciellin(SCEL)
ENSSSCG00000022404	100144589	Sus scrofa	solute carrier family 3 member 2(SLC3A2)
ENSSSCG00000006238	448985	Sus scrofa	cytochrome P450, family 7, subfamily A, polypeptide 1(CYP7A1)
ENSSSCG00000009469	100524951	Sus scrofa	aconitate decarboxylase 1(ACOD1)
ENSSSCG00000006988	100736738	Sus scrofa	platelet-derived growth factor receptor-like protein(LOC100736738)
ENSSSCG00000006987	100037298	Sus scrofa	solute carrier family 7 member 2(SLC7A2)
ENSSSCG00000012745	100517745	Sus scrofa	high mobility group box 3(HMGB3)
ENSSSCG00000020784	100624969	Sus scrofa	tumor necrosis factor superfamily member 15(TNFSF15)
ENSSSCG00000012521	100523415	Sus scrofa	G protein-coupled receptor associated sorting protein 2(GPRASP2)
ENSSSCG00000013292	100523837	Sus scrofa	proline rich 5 like(PRR5L)
ENSSSCG00000015917	397689	Sus scrofa	xin actin-binding repeat-containing protein 2(LOC397689)
ENSSSCG00000006648	100153090	Sus scrofa	cathepsin S(CTSS)
ENSSSCG00000013291	396629	Sus scrofa	TNF receptor associated factor 6(TRAF6)
ENSSSCG00000025423	100154866	Sus scrofa	potassium two pore domain channel subfamily K member 5(KCNK5)
ENSSSCG00000008820	404277	Sus scrofa	tec protein tyrosine kinase(TEC)
ENSSSCG00000012318	414852	Sus scrofa	MAGE family member D1(MAGED1)
ENSSSCG00000012319	100523107	Sus scrofa	melanoma-associated antigen D4(LOC100523107)
ENSSSCG00000008826	100520794	Sus scrofa	FRY like transcription coactivator(FRYL)
ENSSSCG00000026169	100519240	Sus scrofa	major facilitator superfamily domain containing 12(MFSD12)
ENSSSCG00000011071	100517488	Sus scrofa	threonine synthase like 1(THNSL1)
ENSSSCG00000016210	100155585	Sus scrofa	ATP binding cassette subfamily B member 6 (Langereis blood group)(ABCB6)
ENSSSCG00000026173	100152112	Sus scrofa	ATP-binding cassette, sub-family A (ABC1), member 1(ABCA1)
ENSSSCG00000009074	100516683	Sus scrofa	abhydrolase domain containing 18(ABHD18)
ENSSSCG00000028900	102164404	Sus scrofa	GRIP1-associated protein 1-like(LOC102164404)
ENSSSCG00000011895	100154368	Sus scrofa	phospholipase A1 member A(PLA1A)
